car_name,year,price,assemble_place,series,km,engine_type,transmission,url
Ford Territory Titanium X,2023,858 triệu,Trong nước,SUV,30.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ford-territory-hai-duong/gia-858-trieu-aidxc23049858
Hyundai Accent 1.4 MT,2020,369 triệu,Trong nước,,60.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-accent-hai-duong/xe-dep-chay-6-van-km-aidxc22996552
Acura MDX,2008,337 triệu,Nhập khẩu,SUV,68.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-acura-mdx-hcm/can-ban-xe-san-xuat-2008-phien-ban-dac-biet-sh-awd-full-kich-aidxc23047619
Ford Fiesta S 1.6 AT,2011,235 triệu,Trong nước,Hatchback,105.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ford-fiesta-ha-noi/235-trieu-aidxc23050869
Hyundai Verna,2009,209 triệu,Nhập khẩu,Sedan,100.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-verna-ha-noi/gia-209-trieu-aidxc23042668
Nissan Livina,2010,179 triệu,Nhập khẩu,,100.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-nissan-livina-hai-phong/gia-chi-179-trieu-aidxc23058546
Kia Morning,2004,128 triệu,Trong nước,Hatchback,130.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-morning-ha-noi/gia-chi-128-trieu-aidxc23042666
Toyota Camry 2.0G,2021,885 triệu,Nhập khẩu,Sedan,28.500 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-camry-ha-noi/1-chiec-chinh-chu-sieu-dep-dep-vo-doi-aidxc23046350
Kia Carnival 2.2D Luxury,2022,1 tỉ 100 triệu,Trong nước,MPV,28.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-kia-carnival-ha-noi/22d-luxury-2022-sieu-hot-sieu-moi-lan-banh-hon-2-van-km-aidxc23041491
Ford Transit,2023,750 triệu,Trong nước,Van/Minivan,55.000 km,Máy dầu,Số sàn,https://oto.com.vn//mua-ban-xe-ford-transit-hcm/full-do-choi-hang-ban-bao-hanh-toan-quoc-aidxc23053405
Ford Transit tiêu chuẩn,2023,770 triệu,Trong nước,Van/Minivan,23.000 km,Máy dầu,Số sàn,https://oto.com.vn//mua-ban-xe-ford-transit-hcm/moi-23000km-full-do-choi-chinh-hang-ban-lay-ve-la-chay-aidxc23043663
Ford Fiesta,2015,320 triệu,Trong nước,Hatchback,40.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ford-fiesta-hcm/1-chu-tu-dau-moi-40000-km-hang-ban-aidxc23042922
Ford EcoSport Titanium 1.5L AT,2017,365 triệu,Trong nước,SUV,123.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ford-ecosport-hcm/dep-keng-chinh-hang-ban-bao-hanh-1-nam-mau-trang-aidxc23052290
Audi Q7 3.0 TFSI Quattro,2015,1 tỉ 299 triệu,Nhập khẩu,SUV,80.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-audi-q7-ha-noi/xe-nguyen-ban-cam-ket-chat-luong-aidxc22890960
Mini Countryman tiêu chuẩn,2014,620 triệu,Nhập khẩu,Hatchback,82.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mini-countryman-ha-noi/xe-nguyen-ban-cam-ket-chat-luong-aidxc22906499
Toyota Fortuner 2.4G 4x2 AT,2019,845 triệu,Trong nước,SUV,01 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-fortuner-ha-noi/xe-nguyen-ban-cam-ket-chat-luong-aidxc23028989
Audi A5 Sportback 2.0 TFSI,2014,599 triệu,Nhập khẩu,Sedan,01 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-audi-a5-ha-noi/xe-nguyen-ban-cam-ket-chat-luong-aidxc22968850
Mercedes-Benz E300,2011,485 triệu,Trong nước,Sedan,120.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-e300-ha-noi/xe-nguyen-ban-cam-ket-chat-luong-aidxc23009987
Toyota Corolla Cross 1.8 V,2022,809 triệu,Trong nước,MPV,9.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-corolla-cross-hcm/dong-co-xang-18l-aidxc23063079
Toyota Venza 2.7 AWD AT,2009,430 triệu,Nhập khẩu,Crossover,01 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-venza-ha-noi/xe-chat-gia-tot-aidxc22981083
Ford EcoSport Titanium 1.5L AT,2018,428 triệu,Trong nước,SUV,70.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ford-ecosport-hcm/mot-chu-zin-dep-hang-ban-co-bao-hanh-1-nam-aidxc23059367
Ford Territory Titanium X,2023,885 triệu,Trong nước,SUV,12.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ford-territory-hcm/sieu-luot-12000-km-dep-nhu-moi-chinh-hang-saigon-ban-aidxc23045453
Peugeot 2008 Active,2022,630 triệu,Trong nước,SUV,42.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-peugeot-2008-ha-noi/chay-4v2-630-trieu-aidxc23062968
Hyundai Santa Fe 2.4L Xăng Đặc biệt,2018,795 triệu,Trong nước,SUV,82.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-santa-fe-hai-phong/xang-dac-biet-aidxc23062897
Toyota Innova 2.0E,2022,659 triệu,Trong nước,MPV,45.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-toyota-innova-hcm/a-xe-gam-cao-8-cho-noi-that-rong-rai-aidxc23062883
Kia K5 2.5 GT-Line,2022,839 triệu,Trong nước,Sedan,28.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-k5-ha-noi/chay-2v8-839-trieu-aidxc23062873
Ford Ranger Wildtrak 4x4 AT,2021,765 triệu,Nhập khẩu,Bán Tải,30.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-ford-ranger-hcm/wildtrak-2021-ban-full-2-cauxe-luot-aidxc23043497
Mazda CX-5 2.5 Signature Premium AWD,2021,815 triệu,Trong nước,SUV,24.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-cx-5-ha-noi/chay-2v4-815tr-aidxc23062866
Hyundai Tucson 1.6 Turbo HTRAC,2023,915 triệu,Trong nước,SUV,14.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-tucson-ha-noi/chay-1v4-915-trieu-aidxc23062856
Ford Ranger XL 2.2 4x4 MT,2019,515 triệu,Nhập khẩu,Bán Tải,60.000 km,Máy dầu,Số sàn,https://oto.com.vn//mua-ban-xe-ford-ranger-hcm/2019-so-san-2-cau1-chu-xe-di-rat-ky-aidxc23044914
Hyundai Elantra 1.6 AT Đặc biệt,2021,523 triệu,Trong nước,Sedan,31.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-elantra-hcm/dep-khong-loi-nho-aidxc23057407
Mazda CX-5 2.5L Signature Premium 2WD,2020,760 triệu,Trong nước,Crossover,40.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-cx-5-ha-noi/xe-nguyen-ban-cam-ket-chat-luong-aidxc23062736
Ford Ranger XLS 2.2 4x2 AT,2016,460 triệu,Nhập khẩu,Bán Tải,70.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-ford-ranger-hcm/2016-so-tu-dongxe-gia-dinh-1-chu-bao-test-hang-aidxc23057615
Kia Carnival,2022,1 tỉ 298 triệu,Trong nước,,28.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-carnival-hcm/bao-dau-bank-70-90-ib-zalo-tu-van-truc-tiep-247-aidxc23062669
Mazda CX-5 2.0 Luxury,2023,800 triệu,Trong nước,,5.500 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-cx-5-ha-noi/xe-gan-nhu-new-chat-luong-cam-ket-aidxc23055216
Toyota Corolla Altis 1.8 V,2022,715 triệu,Trong nước,,6.500 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-corolla-altis-ha-noi/xe-chu-di-cuc-it-moi-lan-banh-duoc-6500kilomet-aidxc23041947
Kia Sonet 1.5 Luxury,2023,570 triệu,Trong nước,,6.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-sonet-ha-noi/dep-nhu-xe-moi-moi-lan-banh-6000km-aidxc23037669
Toyota Veloz Cross 1.5 CVT TOP,2023,640 triệu,Trong nước,,5.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-veloz-cross-ha-noi/xe-sieu-luot-chu-moi-di-6-thang-aidxc23047166
Hyundai Creta 1.5L Đặc biệt,2022,625 triệu,Trong nước,SUV,18.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-creta-bac-ninh/dep-khong-loi-nho-aidxc23040913
Ford Ranger XLS 2.2 4x2 AT,2020,560 triệu,Nhập khẩu,Bán Tải,64.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-ford-ranger-ha-noi/nhap-khau-so-tu-dong-model-2021-aidxc23030897
Mazda CX-5 2.0L AT FWD,2020,678 triệu,Trong nước,SUV,68.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-cx-5-ha-noi/cx5-2020-con-rat-moi-aidxc23036532
Kia Cerato SLi 2.0 GDI AT,2016,395 triệu,Trong nước,Sedan,86.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-cerato-ha-noi/20-2016-con-rat-moi-aidxc23035364
Hyundai Accent 1.4 AT,2021,425 triệu,Trong nước,Sedan,44.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-accent-bac-ninh/2021-so-tu-dong-aidxc23023485
Mazda 3 Sedan 1.5L Luxury,2021,560 triệu,Trong nước,,45.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-3-ha-noi/trang-bi-full-option-hien-dai-aidxc23062247
Toyota Veloz Cross 1.5 CVT,2023,615 triệu,Trong nước,MPV,27.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-veloz-cross-ha-noi/gia-615tr-co-thuong-luong-aidxc23062246
Peugeot 2008 GT Line,2022,685 triệu,Nhập khẩu,SUV,40.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-peugeot-2008-ha-noi/685tr-co-thuong-luong-them-aidxc23062242
Ford EcoSport,2017,309 triệu,Trong nước,SUV,50.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-ford-ecosport-binh-duong/odo-5-van-aidxc23062146
Hyundai Grand i10 Sedan 1.2 MT,2017,243 triệu,Trong nước,Sedan,40.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-hyundai-grand-i10-binh-duong/odo-4-van-aidxc23062144
Hyundai Tucson 2.0 Đặc biệt,2020,689 triệu,Trong nước,SUV,66.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-tucson-hcm/a-xe-gam-cao-5-cho-noi-that-rong-rai-aidxc23062091
Mercedes-Benz GLC 200,2021,1 tỉ 399 triệu,Trong nước,SUV,33.333 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-glc-200-hcm/tiet-kiem-hon-500tr-aidxc23062088
Mercedes-Benz GLC 200 4Matic,2021,1 tỉ 699 triệu,Trong nước,SUV,16.999 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-glc-200-hcm/lan-banh-sieu-luot-1-chu-tu-moi-full-lich-su-hang-aidxc23062083
Mercedes-Benz GLC 200,2021,1 tỉ 399 triệu,Nhập khẩu,SUV,33.333 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-glc-200-hcm/lan-banh-33333km-dk-122021-aidxc23062077
Ford Ranger Wildtrak 3.2 4x4 AT,2017,620 triệu,Nhập khẩu,Bán Tải,80.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-ford-ranger-hcm/wildtrak-32-2017-ban-fullxe-1-chu-bao-zin-aidxc23057641
Porsche Panamera 3.0 V6,2019,4 tỉ 199 triệu,Nhập khẩu,Sedan,44.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-porsche-panamera-hcm/tiet-kiem-ngay-2ti5-aidxc23044018
VinFast VF9,2023,1 tỉ 258 triệu,Trong nước,,11.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-vinfast-vf9-hcm/bao-dau-bank-70-90-ib-zalo-tu-van-truc-tiep-247-aidxc23048515
Mercedes-Benz C200 Exclusive,2019,1 tỉ 139 triệu,Trong nước,,20.921 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-c200-hcm/xe-1-chu-tu-moi-nuoc-son-zin-nguyen-van-con-bong-loang-aidxc23061964
Mazda 3 Sedan 1.5L Luxury,2022,615 triệu,Trong nước,,12.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-3-ha-noi/xe-luot-moi-di-1v2-aidxc23037674
Land Rover Range Rover,2010,580 triệu,Nhập khẩu,SUV,8.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-landrover-range-rover-bac-giang/gd-ban-ranger-supercharged-xe-50-nhap-khau-anh-2010-chinh-chu-gd-dang-su-dung-aidxc23052397
Hyundai Grand i10 Sedan 1.2 MT,2020,306 triệu,Trong nước,Sedan,50.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-hyundai-grand-i10-hai-phong/gia-tot-nhat-thang-nay-aidxc23060035
Ford Territory Titanium X,2022,845 triệu,Trong nước,SUV,38.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ford-territory-hai-phong/gia-845-trieu-aidxc23057847
Hyundai Santa Fe 2.4L Xăng Tiêu chuẩn,2022,945 triệu,Trong nước,SUV,9.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-santa-fe-hai-phong/ban-945-trieu-aidxc23057844
Hyundai Santa Fe 2.4L Xăng Cao cấp,2021,1 tỉ 040 triệu,Trong nước,SUV,19.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-santa-fe-hai-phong/santafe-full-xang-sx-2021-dk-2022-odo-19000km-son-zin-ca-xe-aidxc23054090
Mazda CX-5,2023,825 triệu,Trong nước,Crossover,9.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-cx-5-hai-phong/xe-dep-chay-9000-km-aidxc23044723
Mazda 3 Sedan 1.5L Luxury,2021,570 triệu,Trong nước,Sedan,80.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-3-hai-phong/gia-570-trieu-aidxc23037393
Ferrari 296 GTB,2022,22 tỉ 999 triệu,Nhập khẩu,Convertible,3.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ferrari-296-gtb-hcm/22-ty-999-trieu-aidxc23012372
Land Rover Range Rover,2015,3 tỉ 450 triệu,Nhập khẩu,SUV,81.234 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-landrover-range-rover-ha-noi/xe-dep-nguyen-ban-gia-tot-aidxc22936874
Ford Everest,2023,1 tỉ 289 triệu,Nhập khẩu,,20.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ford-everest-ha-noi/xe-chinh-chu-chay-it-nen-con-rat-moi-aidxc23046130
Toyota Veloz,2023,628 triệu,Nhập khẩu,MPV,48.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-veloz-ha-noi/ten-ca-nhan-1-chu-mua-moi-aidxc23055384
Mazda 3,2016,398 triệu,Trong nước,Sedan,60.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-3-ha-noi/xe-dep-xuat-sac-khong-loi-nho-aidxc23055377
Ford Everest Titanium 2.2L AT 4x2,2016,710 triệu,Nhập khẩu,SUV,90.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-ford-everest-ha-noi/xe-chat-gia-tot-aidxc23061277
VinFast Fadil Nâng Cao,2020,339 triệu,Trong nước,Hatchback,160.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-vinfast-fadil-ha-noi/16v-full-lich-su-hang-nhieu-do-choi-aidxc23019963
Kia Rondo,2020,499 triệu,Trong nước,,50.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-rondo-ha-noi/xe-dep-bien-tinh-ten-tu-nhan-aidxc23016001
Toyota Innova 2.0E,2014,335 triệu,Trong nước,Crossover,150.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-toyota-innova-ha-noi/ko-dich-vu-hon-300tr-aidxc22991876
Toyota Fortuner,2016,465 triệu,Trong nước,,11.200 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-fortuner-ha-noi/xe-tu-nhan-bien-tinh-aidxc23015989
Mitsubishi Triton,2009,220 triệu,Trong nước,Bán Tải,100.000 km,Máy dầu,Số sàn,https://oto.com.vn//mua-ban-xe-mitsubishi-triton-ha-noi/gia-220-trieu-co-thuong-luong-aidxc23041144
Toyota Innova,2016,370 triệu,Trong nước,,130.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-toyota-innova-ha-noi/xe-tu-nhan-su-dung-aidxc23048473
Mazda 3,2022,599 triệu,Trong nước,Sedan,27.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-3-hcm/giao-xe-tan-noi-aidxc23048655
Chevrolet Trailblazer 2.5L 4x2 AT,2018,519 triệu,Nhập khẩu,SUV,90.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-chevrolet-trailblazer-hai-duong/odo-9-van-xe-cuc-chat-aidxc23060296
Ford Ranger XLS 2.2 4x2 AT,2023,665 triệu,Trong nước,Bán Tải,26.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-ford-ranger-hcm/xe-xuat-hoa-don-gan-nhieu-phu-kien-aidxc23059935
Kia Cerato 1.6 AT,2019,495 triệu,Trong nước,Sedan,45.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-cerato-ha-noi/gia-495-trieu-aidxc23042700
Toyota Camry 2.5Q,2020,968 triệu,Trong nước,Sedan,34.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-camry-hcm/thiet-ke-tien-nghi-hien-dai-aidxc23059341
Kia Morning Si 1.25 MT,2016,160 triệu,Trong nước,Hatchback,110.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-kia-morning-ha-tinh/xe-dep-san-di-aidxc23037789
Hyundai Grand i10 Sedan 1.2 AT,2016,260 triệu,Nhập khẩu,Sedan,89.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-grand-i10-nghe-an/ban-gap-aidxc23052215
Ford Tourneo Titanium,2019,680 triệu,Trong nước,MPV,58.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ford-tourneo-hcm/xe-gia-dinh-chu-xe-giu-ky-aidxc23058717
Kia Carnival 3.5G Signature 7 ghế,2022,1 tỉ 559 triệu,Trong nước,MPV,18.888 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-carnival-hcm/may-xanh-bang-cao-nhat-35-aidxc23058246
Toyota Innova 2.0E,2022,690 triệu,Trong nước,SUV,26.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-toyota-innova-hcm/20e-so-san-2022-xe-gia-dinh-khong-qua-taxi-dich-vu-dep-nhu-moi-aidxc23052286
